Amp training started. 2016-02-26T18:37:29

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 16 cores.

Training on 1021 images.
Hashing images...
 1021 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 8]
 Cu: [2, 8]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1021 of 1021 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-NlUCIX.db.
  Processor 1 calculations stored in file /tmp/fp-bLUWLf.db.
  Processor 2 calculations stored in file /tmp/fp-7QWnCG.db.
  Processor 3 calculations stored in file /tmp/fp-w4tZtG.db.
  Processor 4 calculations stored in file /tmp/fp-n5K1_O.db.
  Processor 5 calculations stored in file /tmp/fp-uKPt73.db.
  Processor 6 calculations stored in file /tmp/fp-4MD7oT.db.
  Processor 7 calculations stored in file /tmp/fp-Bfte5d.db.
  Processor 8 calculations stored in file /tmp/fp-ks9Xsf.db.
  Processor 9 calculations stored in file /tmp/fp-dHBEFD.db.
  Processor 10 calculations stored in file /tmp/fp-9KsbPw.db.
  Processor 11 calculations stored in file /tmp/fp-q2xK_3.db.
  Processor 12 calculations stored in file /tmp/fp-Y6PbXH.db.
  Processor 13 calculations stored in file /tmp/fp-tfdTuB.db.
  Processor 14 calculations stored in file /tmp/fp-qWejE_.db.
  Processor 15 calculations stored in file /tmp/fp-Gi5ZXL.db.
 Calculated 1021 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ./fingerprints.db. 0.4 min.
 ...all fingerprint operations complete. 0.9 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
  191 47.76 191.16 -4.00 -2.83 0.31 0.49 False(61)
  192 47.66 160.96 -3.38 -2.83 0.58 0.45 True(61)
  193 47.57 119.04 -2.50 -3.38 2.41 0.66 True(61)
  194 47.47 94.98 -2.00 -2.51 1.66 0.59 True(62)
  195 47.38 68.25 -1.44 -2.00 1.76 0.96 True(62)
  196 47.28 38.97 -0.82 -1.44 1.86 0.33 True(62)
  197 47.19 83.44 -1.77 -0.83 0.39 0.40 False(62)
  198 47.09 56.44 -1.20 -0.83 0.69 0.02 True(62)
  199 47.00 110.08 -2.34 -1.20 0.32 0.47 False(62)
  200 46.90 47.75 -1.02 -1.20 1.20 0.66 True(62)
  201 46.81 57.96 -1.24 -1.02 0.80 0.60 True(62)
  202 46.72 46.54 -1.00 -1.24 1.28 0.79 True(62)
  203 46.62 65.39 -1.40 -1.00 0.67 0.73 False(62)
  204 46.53 49.64 -1.07 -1.00 0.94 0.37 True(62)
  205 46.44 26.49 -0.57 -1.07 1.65 0.67 True(62)
  206 46.34 25.36 -0.55 -0.57 1.02 0.36 True(62)
  207 46.25 36.82 -0.80 -0.55 0.78 0.11 True(62)
  208 46.16 57.61 -1.25 -0.80 0.64 0.54 True(63)
  209 46.07 94.67 -2.06 -1.25 0.45 0.25 True(63)
  210 45.97 94.01 -2.04 -2.06 1.01 0.41 True(63)
  211 45.88 107.13 -2.33 -2.05 0.75 0.65 True(63)
  212 45.79 84.03 -1.84 -2.34 1.66 0.37 True(63)
  213 45.70 41.75 -0.91 -1.84 2.52 0.76 True(64)
  214 45.61 57.50 -1.26 -0.92 0.71 0.22 True(64)
  215 45.52 139.97 -3.08 -1.26 0.16 0.56 False(63)
  216 45.43 53.63 -1.18 -1.27 1.09 0.12 True(64)
  217 45.33 60.68 -1.34 -1.18 0.86 0.90 False(63)
  218 45.24 41.57 -0.92 -1.19 1.31 0.01 True(63)
  219 45.15 26.84 -0.59 -0.92 1.39 0.76 True(64)
  220 45.06 28.49 -0.63 -0.60 0.96 0.23 True(64)
  221 44.97 33.07 -0.74 -0.63 0.90 0.95 False(63)
  222 44.88 24.20 -0.54 -0.63 1.10 0.91 True(64)
  223 44.79 34.13 -0.76 -0.54 0.80 0.50 True(64)
  224 44.70 80.00 -1.79 -0.76 0.36 0.95 False(64)
  225 44.61 49.50 -1.11 -0.77 0.71 0.21 True(64)
  226 44.52 121.99 -2.74 -1.11 0.20 0.90 False(63)
  227 44.44 174.71 -3.93 -1.11 0.06 0.87 False(63)
  228 44.35 36.18 -0.82 -1.12 1.35 0.73 True(63)
  229 44.26 41.35 -0.93 -0.82 0.89 0.51 True(63)
  230 44.17 90.82 -2.06 -0.94 0.33 0.53 False(63)
  231 44.08 36.71 -0.83 -0.94 1.11 0.32 True(63)
  232 43.99 21.83 -0.50 -0.83 1.40 0.06 True(63)
  233 43.91 28.83 -0.66 -0.50 0.85 0.03 True(64)
  234 43.82 36.75 -0.84 -0.66 0.83 0.48 True(64)
  235 43.73 59.07 -1.35 -0.84 0.60 0.66 False(63)
  236 43.64 39.30 -0.90 -0.84 0.94 0.04 True(64)
  237 43.55 103.32 -2.37 -0.90 0.23 0.98 False(63)
  238 43.47 64.08 -1.47 -0.90 0.57 0.76 False(63)
  239 43.38 55.64 -1.28 -0.91 0.69 0.45 True(63)
  240 43.29 78.33 -1.81 -1.29 0.59 0.18 True(63)
  241 43.21 113.62 -2.63 -1.81 0.44 0.32 True(64)
  242 43.12 144.05 -3.34 -2.64 0.49 0.12 True(64)
  243 43.03 128.13 -2.98 -3.35 1.45 0.97 True(64)
