step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
  342 80.80 969.26 -12.00 -4.23 0.00 0.52 False(18)
  343 80.84 3190.33 -39.47 -4.22 0.00 0.68 False(18)
  344 80.88 822.45 -10.17 -4.22 0.00 0.41 False(17)
  345 80.92 784.13 -9.69 -4.22 0.00 0.52 False(17)
  346 80.96 1471.37 -18.17 -4.22 0.00 0.68 False(17)
  347 81.00 945.04 -11.67 -4.22 0.00 0.13 False(17)
  348 81.04 1212.50 -14.96 -4.21 0.00 0.63 False(17)
  349 81.08 4080.69 -50.33 -4.21 0.00 0.10 False(17)
  350 81.12 2856.73 -35.22 -4.21 0.00 0.65 False(17)
  351 81.16 918.01 -11.31 -4.21 0.00 0.24 False(17)
  352 81.20 1083.10 -13.34 -4.20 0.00 0.94 False(17)
  353 81.24 866.55 -10.67 -4.20 0.00 0.32 False(17)
  354 81.28 2197.52 -27.04 -4.20 0.00 0.72 False(17)
  355 81.32 1843.08 -22.66 -4.20 0.00 0.89 False(17)
  356 81.36 1671.24 -20.54 -4.20 0.00 0.65 False(17)
  357 81.40 1214.33 -14.92 -4.19 0.00 0.25 False(17)
  358 81.45 596.30 -7.32 -4.19 0.04 0.41 False(17)
  359 81.49 538.19 -6.60 -4.19 0.09 0.84 False(17)
